Student_Name,School_Name,Area_Type,Gender,Caste,Standard,Age,Year,District,Dropout_Status,Dropout_Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
Vihaan Rao,Mount Litera Zee School,Rural,Female,OBC,6,11,2020,Belagavi,Dropout,Poverty,No Schooling,50000,52.757,79.65,24.1,8.53
Ira Nair,National Public School,Rural,Male,SC,7,12,2021,Mysuru,Enrolled,Not applicable,Primary,10000,67.74,90.125,21.7,1.04
Riya Reddy,Delhi Public School,Urban,Male,General,3,8,2019,Ballari,Enrolled,Not applicable,Secondary,50000,67.74,100,32.5,2.21
Mira Naik,Freedom International School,Rural,Female,General,9,14,2020,Bengaluru Rural,Dropout,Other,No Schooling,60000,46.17,79.65,48.8,4.76
Krishna Naik,National Public School,Semi-Urban,Female,SC,6,11,2020,Bengaluru Urban,Dropout,Financial hardship,No Schooling,25000,52.757,79.65,34.7,2.85
Kabir Bhat,Mount Litera Zee School,Urban,Male,SC,1,6,2022,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,95.45,45.5,0.62
Aarav Bhat,PES Public School,Rural,Female,General,1,6,2023,Dharwad,Enrolled,Health issues,Higher Secondary,50000,52.757,79.65,29.4,2.16
Aarav Jain,Jain International School,Semi-Urban,Male,General,7,12,2019,Bengaluru Rural,Enrolled,Not applicable,Primary,50000,77.91,90.125,39.9,0.13
Dhruv Das,PES Public School,Semi-Urban,Female,General,6,11,2024,Shivamogga,Enrolled,Not applicable,Post-Graduate,10000,67.74,90.125,38.7,0.5
Aarav Chatterjee,Sri Taralabalu Central School,Rural,Male,OBC,8,13,2024,Bengaluru Rural,Dropout,Child Labour,Secondary,50000,52.757,79.65,36.3,2.32
Aadhya Desai,Mount Litera Zee School,Urban,Female,OBC,4,9,2021,Tumakuru,Enrolled,Child Labour,Higher Secondary,60000,50.25,70.95,32.1,2.62
Arjun Pai,Mount Litera Zee School,Urban,Male,ST,8,13,2018,Mysuru,Enrolled,Not applicable,Primary,60000,67.74,90.125,35.4,2.84
Vihaan Desai,Jain International School,Urban,Female,OBC,2,7,2018,Dharwad,Enrolled,Not applicable,Primary,10000,67.74,90.125,38,1.47
Diya Patil,Assisi Central School,Rural,Female,SC,9,14,2019,Dakshina Kannada,Enrolled,Lack of interest,Primary,60000,52.757,79.65,46.3,3.19
Shreya Joshi,New Oxford School,Rural,Male,OBC,8,13,2020,Belagavi,Enrolled,Not applicable,Higher Secondary,15000,72.2,100,48.6,1.29
Ishaan Aggarwal,Maharishi Public School,Semi-Urban,Female,General,1,6,2022,Udupi,Enrolled,Not applicable,Graduate,100000,67.74,90.125,36.1,0.91
Pari Pai,Mount Litera Zee School,Rural,Male,SC,7,12,2022,Shivamogga,Enrolled,Lack of interest,Graduate,10000,40.11,75.35,37.4,2.74
Harsh Bhat,Mount Litera Zee School,Urban,Female,SC,3,8,2019,Bengaluru Rural,Enrolled,Not applicable,Secondary,100000,67.74,90.125,21.6,2.78
Mira Patil,Mount Litera Zee School,Rural,Male,ST,6,11,2018,Bengaluru Urban,Enrolled,Family Issues,Higher Secondary,25000,52.757,79.65,29.9,4.94
Harsh Ghosh,Assisi Central School,Rural,Female,General,10,15,2023,Shivamogga,Enrolled,Not applicable,Higher Secondary,25000,72.61,90.52,44.3,8.89
Riya Aggarwal,Maharishi Public School,Semi-Urban,Female,SC,10,15,2018,Dharwad,Dropout,Other,Graduate,50000,52.757,79.65,41.2,1.3
Diya Seth,Freedom International School,Urban,Female,General,9,14,2024,Shivamogga,Dropout,Migration,Primary,25000,52.757,79.65,47.9,0.61
Kabir Verma,PES Public School,Rural,Male,ST,8,13,2021,Tumakuru,Enrolled,Not applicable,Primary,50000,67.74,97.75,40.4,7.62
Ira Verma,Delhi Public School,Semi-Urban,Female,SC,8,13,2022,Shivamogga,Enrolled,Poverty,Secondary,10000,52.757,79.65,40.8,2.56
Aarav Ghosh,National Public School,Urban,Female,General,5,10,2018,Udupi,Enrolled,Not applicable,Secondary,100000,73.04,90.125,42.1,0.84
Kabir Das,Jain International School,Semi-Urban,Male,OBC,10,15,2021,Tumakuru,Enrolled,Not applicable,No Schooling,50000,71.22,92.45,44.4,2.88
Pari Pandey,Mount Litera Zee School,Urban,Male,ST,5,10,2020,Belagavi,Enrolled,Health issues,Primary,10000,52.757,79.65,41.2,2.66
Sara Aggarwal,National Public School,Rural,Male,OBC,4,9,2024,Udupi,Dropout,Bullying,Primary,50000,52.757,79.65,20.4,2.01
Ishaan Bhat,Maharishi Public School,Urban,Female,OBC,5,10,2024,Tumakuru,Enrolled,Other,Secondary,25000,52.757,79.65,23.3,0.31
Anvi Gowda,National Public School,Semi-Urban,Female,General,6,11,2021,Bengaluru Rural,Dropout,Financial hardship,Primary,60000,52.757,73.49,46.4,2.25
Diya Gupta,Assisi Central School,Semi-Urban,Male,OBC,1,6,2023,Shivamogga,Enrolled,Not applicable,Secondary,50000,67.74,90.125,39,2.04
Anvi Iyer,Jain International School,Semi-Urban,Female,ST,4,9,2022,Bengaluru Urban,Enrolled,Not applicable,Secondary,15000,67.74,90.125,49,1.12
Mira Verma,Maharishi Public School,Urban,Male,OBC,9,14,2024,Belagavi,Dropout,Lack of interest,Primary,50000,51.04,78.72,40.8,1.88
Aditya Aggarwal,National Public School,Semi-Urban,Female,SC,10,15,2024,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,93.14,27.5,0.93
Tanvi Bhat,Delhi Public School,Rural,Male,OBC,5,10,2024,Tumakuru,Enrolled,Long distance to school,Primary,50000,52.757,79.65,30.9,8.91
Krishna Verma,National Public School,Urban,Female,SC,6,11,2019,Belagavi,Enrolled,Not applicable,Post-Graduate,50000,67.74,97.5,44.5,1.48
Vivaan Iyer,Jain International School,Semi-Urban,Female,OBC,7,12,2021,Dakshina Kannada,Dropout,Financial hardship,Higher Secondary,15000,52.757,77.82,44.6,1.36
Aadhya Gowda,Freedom International School,Semi-Urban,Female,OBC,4,9,2023,Udupi,Enrolled,Migration,Secondary,10000,52.757,79.65,48.6,0.58
Rohan Sen,Sri Taralabalu Central School,Semi-Urban,Male,OBC,2,7,2018,Ballari,Enrolled,Not applicable,Higher Secondary,25000,67.74,97.8,43.3,2.53
Priya Mehta,Freedom International School,Rural,Female,ST,2,7,2020,Dakshina Kannada,Enrolled,Migration,Primary,60000,52.757,79.65,25.1,6.23
Reyansh Shetty,Jain International School,Rural,Female,ST,8,13,2022,Ballari,Dropout,Health issues,Primary,10000,52.757,79.65,48.4,1.44
Sara Mehta,Assisi Central School,Rural,Male,General,2,7,2020,Bengaluru Urban,Enrolled,Not applicable,Secondary,10000,67.74,90.125,49.5,8.81
Aditya Gowda,Freedom International School,Rural,Male,General,6,11,2024,Dharwad,Enrolled,Not applicable,Post-Graduate,60000,67.74,90.125,48,3.34
Riya Verma,National Public School,Urban,Female,OBC,2,7,2019,Ballari,Enrolled,Not applicable,Primary,15000,67.74,92.51,30.3,2.37
Rohan Mehta,Freedom International School,Rural,Female,ST,5,10,2020,Dharwad,Enrolled,Not applicable,Secondary,10000,70.39,98.86,27.2,7.9
Ayush Seth,Maharishi Public School,Semi-Urban,Male,OBC,4,9,2019,Ballari,Enrolled,Not applicable,Secondary,10000,67.74,90.125,45.8,1.53
Ayush Roy,Maharishi Public School,Rural,Male,SC,3,8,2023,Bengaluru Rural,Enrolled,Not applicable,No Schooling,10000,80.41,90.125,34.3,8.12
Reyansh Verma,New Oxford School,Urban,Female,OBC,4,9,2020,Belagavi,Enrolled,Not applicable,Higher Secondary,15000,78.93,92.77,47.3,1.32
Sara Joshi,Jain International School,Rural,Female,OBC,7,12,2022,Dharwad,Dropout,Bullying,Primary,10000,52.757,79.65,38.3,8.08
Vihaan Rao,Maharishi Public School,Rural,Male,SC,7,12,2018,Shivamogga,Enrolled,Not applicable,Secondary,50000,67.74,90.125,28.5,8.59
Priya Bhat,Freedom International School,Rural,Male,ST,8,13,2018,Shivamogga,Dropout,Poverty,Primary,25000,41.19,70.51,20.7,6.8
Kabir Aggarwal,Mount Litera Zee School,Urban,Male,SC,8,13,2021,Mysuru,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,46.8,0.19
Anaya Jain,Delhi Public School,Rural,Female,ST,3,8,2018,Tumakuru,Enrolled,Not applicable,Primary,25000,67.74,90.125,28.5,2.29
Saanvi Singh,Delhi Public School,Semi-Urban,Female,General,9,14,2023,Tumakuru,Enrolled,Child Labour,Secondary,25000,44.56,73.47,46.6,2.39
Saanvi Bhat,Maharishi Public School,Semi-Urban,Male,ST,9,14,2018,Dharwad,Enrolled,Not applicable,No Schooling,15000,67.74,90.125,26.2,2.43
Vihaan Jain,National Public School,Urban,Male,OBC,1,6,2020,Belagavi,Enrolled,Not applicable,Primary,10000,81.79,90.125,49.1,1.4
Rohan Chopra,Jain International School,Semi-Urban,Male,ST,5,10,2024,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.125,29.5,2.73
Priya Seth,Maharishi Public School,Urban,Female,ST,10,15,2020,Bengaluru Rural,Enrolled,Health issues,Higher Secondary,25000,43.92,79.65,22.4,1.43
Anvi Banerjee,Jain International School,Semi-Urban,Male,SC,10,15,2019,Dakshina Kannada,Dropout,Other,Primary,10000,52.757,79.65,46.6,2.59
Vivaan Das,Freedom International School,Semi-Urban,Male,OBC,8,13,2022,Shivamogga,Enrolled,Not applicable,Graduate,10000,67.74,90.125,21.6,2.98
Mira Reddy,Maharishi Public School,Urban,Male,General,6,11,2018,Shivamogga,Enrolled,Not applicable,Higher Secondary,15000,67.74,100,33.2,0.65
Harsh Sen,Maharishi Public School,Rural,Female,General,4,9,2021,Bengaluru Urban,Enrolled,Not applicable,Primary,60000,67.74,92.21,23.9,9.88
Dhruv Roy,New Oxford School,Rural,Male,SC,5,10,2023,Belagavi,Enrolled,Poverty,No Schooling,100000,52.757,79.65,45.9,4.6
Vihaan Pai,Jain International School,Rural,Female,ST,4,9,2021,Tumakuru,Enrolled,Not applicable,Secondary,15000,72.28,90.125,45.6,9.51
Diya Reddy,Assisi Central School,Rural,Male,ST,3,8,2018,Bengaluru Rural,Dropout,Health issues,Post-Graduate,10000,52.757,79.65,31.5,2.13
Mira Pai,Maharishi Public School,Rural,Male,OBC,4,9,2020,Dakshina Kannada,Enrolled,Child Labour,Secondary,50000,52.757,79.65,47.2,8.38
Kabir Bhat,National Public School,Urban,Male,General,10,15,2019,Bengaluru Urban,Enrolled,Not applicable,Primary,50000,67.74,90.125,37.1,2.88
Diya Joshi,Sri Taralabalu Central School,Semi-Urban,Female,SC,9,14,2018,Bengaluru Urban,Dropout,Health issues,Primary,10000,52.757,78.88,20.4,0.63
Vihaan Banerjee,Maharishi Public School,Urban,Male,ST,7,12,2021,Udupi,Enrolled,Not applicable,Secondary,25000,67.84,90.125,47.3,1.64
Pari Shetty,Maharishi Public School,Semi-Urban,Female,ST,8,13,2024,Shivamogga,Enrolled,Not applicable,Secondary,10000,67.74,90.125,46.9,2.21
Tanvi Verma,New Oxford School,Semi-Urban,Male,ST,9,14,2020,Shivamogga,Enrolled,Not applicable,Graduate,50000,67.74,90.125,35,2.11
Pari Gowda,National Public School,Urban,Male,SC,2,7,2019,Dakshina Kannada,Dropout,Other,Higher Secondary,60000,52.757,79.65,31.3,2.93
Arjun Pai,Freedom International School,Rural,Male,ST,8,13,2024,Bengaluru Rural,Dropout,Lack of interest,Secondary,50000,52.757,76.67,46,4.45
Vivaan Sen,New Oxford School,Urban,Female,General,10,15,2020,Dharwad,Enrolled,Not applicable,Primary,50000,67.74,90.125,42.7,1.44
Aditya Pai,New Oxford School,Semi-Urban,Female,General,1,6,2024,Mysuru,Enrolled,Not applicable,Primary,10000,67.74,90.125,28,1.18
Kabir Pandey,Delhi Public School,Semi-Urban,Male,ST,6,11,2018,Bengaluru Urban,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,31.1,2.39
Mira Patil,Freedom International School,Semi-Urban,Male,OBC,5,10,2020,Dharwad,Dropout,Other,Graduate,10000,52.43,72.67,29.5,2.21
Aadhya Bhat,New Oxford School,Semi-Urban,Male,SC,6,11,2024,Ballari,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,33.7,2.43
Aryan Sen,Jain International School,Semi-Urban,Male,General,1,6,2018,Shivamogga,Enrolled,Long distance to school,Primary,25000,52.757,79.65,31,0.18
Harsh Shetty,New Oxford School,Semi-Urban,Male,ST,7,12,2022,Belagavi,Enrolled,Not applicable,Primary,100000,67.74,90.63,28.1,2
Ishaan Banerjee,Jain International School,Urban,Female,General,5,10,2023,Dakshina Kannada,Enrolled,Not applicable,Secondary,60000,73.79,90.125,22.1,0.42
Dhruv Reddy,PES Public School,Urban,Male,OBC,10,15,2020,Udupi,Dropout,Child Labour,Higher Secondary,10000,52.757,79.65,46.3,1.39
Reyansh Jain,Delhi Public School,Semi-Urban,Female,General,1,6,2021,Ballari,Dropout,Family Issues,Secondary,15000,52.757,79.65,29.8,0.87
Vivaan Iyer,Jain International School,Urban,Male,SC,4,9,2022,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,25000,67.74,98.55,30.6,0.98
Vivaan Aggarwal,PES Public School,Urban,Male,SC,2,7,2022,Udupi,Enrolled,Other,Secondary,60000,45.69,72.45,48.2,2.77
Reyansh Shetty,New Oxford School,Rural,Male,OBC,3,8,2019,Ballari,Dropout,Migration,Secondary,15000,46.1,79.65,29.1,2.14
Pari Ghosh,National Public School,Urban,Female,OBC,1,6,2024,Belagavi,Enrolled,Not applicable,Higher Secondary,60000,73.89,91.93,29.7,0.33
Riya Bhat,Sri Taralabalu Central School,Rural,Female,OBC,8,13,2024,Ballari,Enrolled,Other,Higher Secondary,25000,52.757,79.65,40.8,2.75
Pari Gowda,Maharishi Public School,Rural,Female,SC,5,10,2021,Bengaluru Urban,Dropout,Bullying,Higher Secondary,10000,52.757,79.65,44.4,1.68
Riya Shetty,Jain International School,Rural,Female,General,9,14,2022,Dakshina Kannada,Enrolled,Family Issues,Primary,25000,52.757,79.65,35.8,9.47
Ayush Kulkarni,New Oxford School,Rural,Male,ST,7,12,2023,Udupi,Enrolled,Not applicable,Higher Secondary,60000,67.74,100,36.5,8.73
Riya Nair,Delhi Public School,Rural,Male,OBC,5,10,2022,Tumakuru,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,49.9,5.66
Harsh Nair,Delhi Public School,Semi-Urban,Male,General,5,10,2018,Mysuru,Enrolled,Other,No Schooling,100000,52.757,79.65,46.4,2.44
Anvi Nair,Delhi Public School,Semi-Urban,Male,ST,4,9,2022,Ballari,Enrolled,Not applicable,Primary,25000,67.74,93.58,35.6,2.55
Rohan Aggarwal,Jain International School,Urban,Male,OBC,1,6,2022,Dharwad,Enrolled,Poverty,Secondary,15000,52.757,79.65,41.2,2.44
Diya Patil,Freedom International School,Rural,Female,OBC,7,12,2018,Ballari,Enrolled,Other,Secondary,60000,52.757,66.23,40.1,3.32
Diya Das,Sri Taralabalu Central School,Semi-Urban,Male,SC,6,11,2020,Belagavi,Enrolled,Not applicable,Graduate,15000,67.74,100,29.4,0.21
Aditya Desai,Freedom International School,Semi-Urban,Female,ST,4,9,2021,Bengaluru Urban,Enrolled,Not applicable,Primary,25000,67.74,90.125,33.8,1.95
Sara Shetty,Jain International School,Rural,Female,General,6,11,2019,Dharwad,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,26.4,7.78
Reyansh Roy,Mount Litera Zee School,Rural,Male,SC,5,10,2020,Ballari,Enrolled,Not applicable,Primary,10000,67.74,90.125,26.4,4.87
Dhruv Gowda,Jain International School,Rural,Female,SC,3,8,2022,Mysuru,Enrolled,Not applicable,Secondary,15000,67.74,90.125,49.3,6.81
Anvi Das,Jain International School,Urban,Female,General,8,13,2020,Bengaluru Urban,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,28.7,1.02
Anaya Bhat,National Public School,Urban,Male,ST,6,11,2024,Dakshina Kannada,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,26.8,2.82
Dhruv Sen,Assisi Central School,Urban,Female,OBC,10,15,2024,Udupi,Enrolled,Not applicable,Higher Secondary,10000,67.74,96.01,30.3,1.27
Priya Singh,Maharishi Public School,Semi-Urban,Male,ST,4,9,2021,Shivamogga,Enrolled,Not applicable,Primary,10000,67.74,90.125,20,0.36
Rohan Bhat,PES Public School,Semi-Urban,Male,General,7,12,2021,Mysuru,Enrolled,Not applicable,Primary,60000,67.74,90.125,42.5,0.17
Diya Joshi,PES Public School,Urban,Female,SC,2,7,2023,Udupi,Enrolled,Not applicable,Secondary,100000,100,90.125,41.1,2.63
Dhruv Ghosh,Mount Litera Zee School,Rural,Male,SC,3,8,2021,Udupi,Enrolled,Not applicable,Higher Secondary,15000,67.74,100,37.1,2.91
Pari Seth,Mount Litera Zee School,Rural,Female,OBC,10,15,2023,Belagavi,Dropout,Child Labour,Higher Secondary,50000,50.82,79.65,27.2,9.97
Laksh Pai,Jain International School,Urban,Female,ST,7,12,2023,Dharwad,Enrolled,Migration,Graduate,15000,48.18,79.65,29.4,1.64
Anaya Aggarwal,Assisi Central School,Rural,Male,ST,7,12,2020,Udupi,Dropout,Family responsibilities,Secondary,50000,52.757,78.5,25,9.31
Meera Das,Delhi Public School,Urban,Female,SC,8,13,2018,Belagavi,Enrolled,Not applicable,No Schooling,15000,67.74,90.125,38.5,2.68
Aryan Nair,New Oxford School,Semi-Urban,Female,OBC,3,8,2019,Tumakuru,Enrolled,Not applicable,Primary,10000,67.74,90.125,35.2,1.21
Kabir Sharma,Delhi Public School,Rural,Male,General,7,12,2020,Tumakuru,Dropout,Migration,No Schooling,50000,22.05,79.65,29,4.74
Tanvi Kulkarni,Mount Litera Zee School,Urban,Male,OBC,1,6,2024,Bengaluru Rural,Dropout,Poverty,Post-Graduate,15000,52.757,79.65,32.8,1.47
Aadhya Sharma,New Oxford School,Urban,Male,ST,6,11,2020,Mysuru,Dropout,Bullying,Primary,50000,47.23,62.83,45.7,1.99
Sara Roy,Maharishi Public School,Semi-Urban,Male,ST,4,9,2019,Mysuru,Enrolled,Other,No Schooling,50000,51.8,79.65,42,1.06
Reyansh Ghosh,National Public School,Rural,Female,ST,3,8,2022,Bengaluru Rural,Enrolled,Not applicable,No Schooling,50000,73.3,90.125,49.3,1.81
Pari Gowda,Assisi Central School,Urban,Female,ST,10,15,2018,Dakshina Kannada,Enrolled,Migration,Higher Secondary,50000,50.25,79.65,48.5,1.25
Priya Jain,Freedom International School,Rural,Female,SC,7,12,2019,Belagavi,Enrolled,Not applicable,Primary,25000,74.63,90.125,33.2,7.79
Vihaan Pai,Sri Taralabalu Central School,Semi-Urban,Female,OBC,5,10,2019,Shivamogga,Enrolled,Not applicable,Primary,60000,67.74,91.82,36,0.59
Shreya Singh,Assisi Central School,Rural,Male,SC,1,6,2018,Dakshina Kannada,Enrolled,Not applicable,Secondary,100000,68.27,93.41,35.5,5.1
Aryan Shetty,Sri Taralabalu Central School,Semi-Urban,Male,SC,6,11,2022,Tumakuru,Dropout,Child Labour,Higher Secondary,50000,47.71,76.43,30.2,2.32
Aditya Gowda,Sri Taralabalu Central School,Rural,Female,SC,8,13,2021,Belagavi,Dropout,Child Labour,Secondary,25000,52.757,60.07,30.8,7.9
Aarav Chatterjee,National Public School,Semi-Urban,Male,SC,5,10,2024,Shivamogga,Dropout,Migration,Primary,100000,52.757,79.65,27.8,0.72
Kabir Rao,National Public School,Urban,Female,ST,8,13,2018,Belagavi,Dropout,Poverty,Primary,10000,52.757,79.65,32.9,2.24
Sara Das,Maharishi Public School,Urban,Male,OBC,4,9,2021,Dharwad,Enrolled,Not applicable,Secondary,50000,67.74,90.125,45.3,1.88
Saanvi Joshi,New Oxford School,Rural,Male,OBC,4,9,2023,Ballari,Enrolled,Family Issues,Secondary,50000,51.97,79.65,33.8,8.32
Ayush Gupta,PES Public School,Rural,Male,General,7,12,2019,Ballari,Enrolled,Not applicable,Primary,50000,67.74,100,29.6,5.61
Meera Chopra,Jain International School,Rural,Female,ST,5,10,2018,Shivamogga,Dropout,Migration,No Schooling,10000,52.757,79.65,34.3,2.85
Sneha Singh,Delhi Public School,Semi-Urban,Male,ST,7,12,2018,Shivamogga,Dropout,Family responsibilities,Primary,15000,39.51,79.65,20.3,1.35
Kabir Naik,Assisi Central School,Urban,Female,ST,10,15,2019,Dharwad,Dropout,Migration,Secondary,25000,52.757,79.65,28.2,1.75
Sara Kumar,National Public School,Semi-Urban,Male,ST,6,11,2023,Shivamogga,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,34.4,1.7
Arjun Kumar,PES Public School,Rural,Female,OBC,10,15,2019,Bengaluru Urban,Enrolled,Not applicable,Primary,50000,67.74,90.125,21.9,7.04
Mira Singh,Assisi Central School,Rural,Female,OBC,8,13,2018,Shivamogga,Enrolled,Health issues,Post-Graduate,50000,52.757,79.65,47.5,2.77
Anaya Chatterjee,Delhi Public School,Semi-Urban,Male,OBC,6,11,2022,Udupi,Dropout,Financial hardship,Higher Secondary,10000,52.757,79.65,48.1,1.56
Ishaan Nair,Jain International School,Urban,Male,OBC,9,14,2023,Ballari,Enrolled,Not applicable,Secondary,60000,67.74,93.55,31.1,2.44
Shreya Desai,PES Public School,Rural,Male,General,6,11,2020,Tumakuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,100,42.1,9.69
Anaya Gowda,National Public School,Urban,Male,ST,7,12,2020,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,60000,67.74,90.125,30.2,1.29
Anvi Desai,National Public School,Semi-Urban,Female,SC,4,9,2018,Dharwad,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,31.6,2.57
Arjun Gupta,New Oxford School,Semi-Urban,Male,OBC,3,8,2019,Tumakuru,Dropout,Lack of interest,No Schooling,10000,41.41,79.65,43.1,2
Anaya Naik,Delhi Public School,Rural,Female,OBC,3,8,2020,Udupi,Enrolled,Not applicable,Higher Secondary,25000,67.74,100,49.6,8.44
Priya Chatterjee,Jain International School,Semi-Urban,Male,General,1,6,2024,Mysuru,Dropout,Family Issues,No Schooling,60000,50.26,79.65,20.6,1.2
Krishna Ghosh,PES Public School,Semi-Urban,Male,OBC,3,8,2023,Bengaluru Urban,Dropout,Other,Secondary,25000,52.757,79.65,45.8,2.2
Reyansh Reddy,PES Public School,Semi-Urban,Female,SC,10,15,2019,Tumakuru,Enrolled,Lack of interest,Graduate,15000,45.7,79.65,46.6,0.12
Anvi Singh,Delhi Public School,Semi-Urban,Female,SC,2,7,2021,Ballari,Enrolled,Health issues,Primary,15000,52.757,79.65,41.5,2.61
Dhruv Gowda,Jain International School,Rural,Female,ST,9,14,2021,Shivamogga,Enrolled,Not applicable,Higher Secondary,15000,80.62,100,29.2,4.38
Aadhya Jain,Delhi Public School,Urban,Male,ST,10,15,2020,Shivamogga,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,26,2.15
Mira Mehta,Assisi Central School,Urban,Male,General,5,10,2023,Dharwad,Enrolled,Bullying,Higher Secondary,50000,52.757,79.65,25.9,1.68
Laksh Aggarwal,National Public School,Semi-Urban,Male,ST,6,11,2020,Bengaluru Rural,Enrolled,Bullying,Secondary,50000,41.24,79.65,34.2,1.01
Krishna Pai,Mount Litera Zee School,Urban,Male,OBC,6,11,2024,Dharwad,Enrolled,Not applicable,Post-Graduate,10000,67.74,90.125,24.8,1.52
Aditya Iyer,PES Public School,Rural,Male,OBC,1,6,2022,Ballari,Enrolled,Not applicable,Primary,25000,69.99,90.125,36.7,2.41
Mira Iyer,National Public School,Rural,Female,ST,8,13,2020,Udupi,Enrolled,Family responsibilities,Secondary,50000,52.757,74.86,37.5,3.32
Ayush Kulkarni,Delhi Public School,Rural,Female,General,10,15,2023,Shivamogga,Enrolled,Not applicable,Graduate,25000,67.74,90.125,31.7,4.31
Ishaan Chopra,Maharishi Public School,Urban,Female,OBC,2,7,2022,Tumakuru,Dropout,Other,Primary,50000,47.59,77,32.8,2.04
Dhruv Shetty,Delhi Public School,Rural,Female,OBC,8,13,2022,Mysuru,Enrolled,Not applicable,Secondary,60000,67.74,90.57,32.1,8.11
Aadhya Chopra,PES Public School,Semi-Urban,Female,ST,8,13,2024,Mysuru,Enrolled,Not applicable,Secondary,50000,67.74,97.79,26.1,0.4
Sneha Ghosh,Delhi Public School,Semi-Urban,Male,OBC,10,15,2021,Belagavi,Enrolled,Not applicable,Primary,25000,67.74,90.125,35.3,0.35
Ishaan Rao,New Oxford School,Rural,Female,SC,8,13,2021,Shivamogga,Enrolled,Family responsibilities,Secondary,10000,49.94,79.65,25.7,8.34
Anaya Chatterjee,Jain International School,Urban,Male,OBC,1,6,2018,Bengaluru Rural,Enrolled,Lack of interest,Primary,25000,52.757,73.47,43.9,2.04
Vivaan Patil,Mount Litera Zee School,Semi-Urban,Female,General,10,15,2020,Belagavi,Dropout,Poverty,Higher Secondary,25000,52.757,79.65,42.2,1.35
Anaya Pai,Maharishi Public School,Urban,Male,General,6,11,2020,Tumakuru,Enrolled,Not applicable,Secondary,100000,91.34,90.125,34.6,2.65
Laksh Kumar,Freedom International School,Rural,Male,ST,5,10,2020,Bengaluru Rural,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,41,5.99
Kabir Rao,PES Public School,Semi-Urban,Female,ST,1,6,2024,Shivamogga,Enrolled,Not applicable,Graduate,50000,70.35,100,37.1,0.17
Krishna Banerjee,New Oxford School,Rural,Female,OBC,5,10,2019,Ballari,Dropout,Health issues,No Schooling,50000,52.757,79.65,42.6,9.47
Arjun Gupta,Jain International School,Urban,Female,ST,8,13,2018,Mysuru,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,49.1,2.19
Ishaan Sen,Mount Litera Zee School,Rural,Female,SC,5,10,2022,Bengaluru Urban,Enrolled,Family Issues,Primary,25000,52.757,79.61,43.5,9.8
Sara Seth,PES Public School,Urban,Female,SC,10,15,2021,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,25,0.95
Kabir Patil,Jain International School,Urban,Female,OBC,9,14,2021,Dakshina Kannada,Enrolled,Not applicable,Graduate,15000,69.52,100,21.6,0.36
Anvi Seth,National Public School,Semi-Urban,Female,ST,10,15,2020,Dakshina Kannada,Dropout,Child Labour,Secondary,25000,52.757,79.65,22.9,2.85
Ishaan Nair,National Public School,Semi-Urban,Male,General,10,15,2020,Dharwad,Enrolled,Not applicable,No Schooling,10000,90.36,100,37.3,2.84
Laksh Sharma,Mount Litera Zee School,Semi-Urban,Male,ST,9,14,2023,Ballari,Dropout,Family Issues,Primary,100000,52.757,78.86,45.9,1.33
Aditya Singh,Assisi Central School,Urban,Male,General,10,15,2022,Mysuru,Dropout,Child Labour,Secondary,100000,46.96,79.65,25.9,2.65
Harsh Nair,Sri Taralabalu Central School,Semi-Urban,Male,SC,3,8,2024,Tumakuru,Enrolled,Not applicable,Higher Secondary,25000,67.74,90.125,33.4,0.37
Saanvi Chopra,Freedom International School,Rural,Male,SC,4,9,2020,Dharwad,Enrolled,Bullying,Post-Graduate,50000,49.58,79.65,41.9,6.99
Riya Naik,PES Public School,Semi-Urban,Female,ST,10,15,2018,Tumakuru,Enrolled,Family responsibilities,Secondary,10000,52.757,79.65,27.6,2.7
Diya Jain,Jain International School,Urban,Female,General,7,12,2021,Belagavi,Enrolled,Not applicable,Secondary,15000,67.74,91.22,40.3,2.71
Ishaan Seth,Jain International School,Rural,Female,SC,10,15,2022,Dharwad,Enrolled,Not applicable,Graduate,25000,67.74,93.81,29,8.19
Kabir Bhat,Maharishi Public School,Urban,Male,ST,3,8,2022,Dharwad,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,22.7,1.43
